,state,Cases,Mean,Population,Infection Rate
0,Alabama,83039,3587.029275890288,4903185,1.6935726471670964
1,Alaska,32413,874.3190373682177,731545,4.430759556828356
2,Arizona,573082,23094.614914818387,7278717,7.8733930718834095
3,Arkansas,44983,2001.059092091879,3017804,1.4905871951922656
4,California,1276254,27537.130388585305,39512223,3.230023276594688
5,Colorado,75412,3331.6170999613623,5758736,1.3095234787633954
6,Connecticut,101119,14530.079781420765,3565287,2.8362092588899577
7,Delaware,65530,8946.099817850638,973764,6.729556648222773
8,District of Columbia,49973,7645.292046144506,705749,7.080846023161209
9,Florida,533821,14784.461550645443,21477737,2.485462039133825
10,Georgia,104836,3118.7445949156568,10617423,0.9873959057673412
11,Hawaii,29333,2255.3895394223264,1415872,2.07172682276364
12,Idaho,54649,1869.651817533856,1787065,3.058030905423138
13,Illinois,561168,5948.1355261314275,12671821,4.428471645866841
14,Indiana,104970,3416.7590008913694,6732219,1.5592184389723507
15,Iowa,58891,1705.2515645007124,3155070,1.8665512968016558
16,Kansas,61987,1312.727337725346,2913314,2.127714348676456
17,Kentucky,84173,1549.5411030487624,4467673,1.8840456765748075
18,Louisiana,50084,3455.198322017994,4648794,1.0773546859680165
19,Maine,17400,1273.0686095931997,1344212,1.2944386748518835
20,Maryland,86175,7928.063752276867,6045680,1.4253979701208135
21,Massachusetts,136324,17692.140147862425,6892503,1.977859131871252
22,Michigan,167250,4351.098800326613,9986857,1.6747010596026357
23,Minnesota,126249,2850.7355354986594,5639632,2.238603511718495
24,Mississippi,22901,1770.3826220834417,2976149,0.7694843235335327
25,Missouri,105603,2318.069016084715,6137428,1.7206393296996723
26,Montana,18348,825.4629106211921,1068778,1.716726953586245
27,Nebraska,71755,1070.415281372831,1934408,3.7094036004813877
28,Nevada,273860,7710.845844118493,3080156,8.891108112705979
29,New Hampshire,36590,3028.9559805707345,1359711,2.691013016736645
30,New Jersey,105835,19032.171378791478,8882190,1.1915417256329803
31,New Mexico,60017,2520.016861826698,2096829,2.8622744153195137
32,New York,284750,14159.623576958105,19453561,1.4637422937630802
33,North Carolina,116949,4110.567002392942,10488084,1.1150654399793136
34,North Dakota,24854,925.5496274217586,762062,3.261414425597917
35,Ohio,130071,5083.4402752479255,11689100,1.1127546175496832
36,Oklahoma,88919,2486.946923059187,3956971,2.2471481342673476
37,Oregon,41288,2100.8540887738473,4217737,0.978913573795616
38,Pennsylvania,155859,6878.735593041366,12801989,1.2174592557453376
39,Puerto Rico,18780,664.1031648451731,3193694,0.5880337940954894
40,Rhode Island,99884,9130.72339318241,1059361,9.42870277459714
41,South Carolina,76419,5241.508120825743,5148714,1.4842347040445438
42,South Dakota,31851,834.8061716489875,884659,3.6003703121767825
43,Tennessee,101819,3920.487071150921,6829174,1.4909416570730223
44,Texas,411554,5101.147142531876,28995881,1.419353321252767
45,Utah,157373,4818.873036971398,3205958,4.9087667399261
46,Vermont,7641,507.33390255009107,623989,1.2245408172259447
47,Virginia,77838,2106.2949065641233,8535519,0.9119304871795143
48,Washington,115189,4394.615664845173,7614893,1.5126804802116063
49,West Virginia,15594,1079.6384494934969,1792147,0.8701295150453617
50,Wisconsin,119166,4118.084010239748,5822434,2.046669829147054
51,Wyoming,11338,1031.0549362477232,578759,1.9590192117962744
