State,2018_Car_Sale,2019_Car_Sale,2020_Car_Sale,Infection Rate
California,120.1,114.9,107.7,
Texas,92.0,94.2,91.1,
Florida,80.4,80.5,83.0,
New York,61.3,62.2,59.9,
Michigan,39.3,40.0,38.2,
Pennsylvania,40.2,39.9,38.0,
Ohio,36.8,37.6,37.4,
Illinois,37.6,39.1,34.4,4.428471645866841
New Jersey,35.6,36.9,34.1,
Oklahoma,46.5,46.5,31.5,
Georgia,31.2,30.2,29.7,
North Carolina,28.0,28.7,28.2,
Arizona,23.4,23.5,22.3,7.8733930718834095
Virginia,23.3,23.5,22.3,
Massachusetts,21.6,21.3,20.1,
Maryland,20.1,19.9,18.6,
Missouri,19.1,18.8,18.4,
Tennessee,17.7,18.4,18.4,
Washington,18.1,17.8,16.7,
Indiana,15.0,15.4,15.7,
Wisconsin,15.0,15.1,15.3,
Colorado,13.9,17.2,15.1,
Minnesota,14.89,15.9,14.8,
Louisiana,13.88,13.5,13.9,
South Carolina,10.96,13.5,13.8,
Alabama,12.16,12.7,13.1,
Connecticut,11.37,10.1,9.8,
Oregon,8.04,10.5,9.6,
Kentucky,9.69,9.0,9.5,
Nevada,6.74,8.4,8.3,8.891108112705979
Utah,7.65,8.7,8.3,4.9087667399261
Iowa,9.44,7.8,8.2,
Arkansas,7.97,7.9,8.1,
Mississippi,6.11,6.6,6.9,
Kansas,7.88,5.9,6.2,
New Hampshire,5.41,6.0,6.2,
Nebraska,6.55,5.3,5.6,3.709403600481388
West Virginia,4.97,5.0,5.1,
New Mexico,5.1,5.3,5.0,
Maine,3.66,4.1,4.3,
Idaho,3.9,3.8,4.0,
Hawaii,5.4,5.8,3.7,
Delaware,3.0,2.9,3.0,6.729556648222773
Montana,3.5,3.2,3.0,
Rhode Island,3.0,2.9,2.9,9.42870277459714
Vermont,2.6,2.6,2.6,
South Dakota,2.3,2.3,2.5,3.6003703121767825
North Dakota,2.4,2.3,2.4,
Alaska,1.6,1.7,1.6,4.430759556828356
Wyoming,1.6,1.6,1.6,
